"island","site","GenSp","abundance","submitted_name","data_source_title","score","matched_name2","final_name"
"BigIsland","BI_01","Cis signatus",541,"Cis signatus","Encyclopedia of Life",0.988,"Cis signatus","Cis signatus"
"BigIsland","BI_01","Acanthia procellaris",64,"Acanthia procellaris","uBio NameBank",0.988,"Acanthia procellaris","Acanthia procellaris"
"BigIsland","BI_01","Spoles solitaria",34,"Spoles solitaria","Catalogue of Life Checklist",0.75,"Spolas solitaria","Spolas solitaria"
"BigIsland","BI_01","Laupala pruna",21,"Laupala pruna","National Center for Biotechnology Information",0.988,"Laupala pruna","Laupala pruna"
"BigIsland","BI_01","Toxeuma hawaiiensis",111,"Toxeuma hawaiiensis","Encyclopedia of Life",0.988,"Toxeuma hawaiiensis","Toxeuma hawaiiensis"
"BigIsland","BI_01","Chrysotus parthenus",208,"Chrysotus parthenus","Encyclopedia of Life",0.988,"Chrysotus parthenus","Chrysotus parthenus"
"BigIsland","BI_01","Metrothorax deverilli",11,"Metrothorax deverilli","Catalogue of Life Checklist",0.75,"Metrothorax deverilli","Metrothorax deverilli"
"BigIsland","BI_01","Drosophila obscuricornis",2,"Drosophila obscuricornis","CU*STAR",0.988,"Drosophila obscuricornis","Drosophila obscuricornis"
"BigIsland","BI_01","Cis bimaculatus",4,"Cis bimaculatus","Wikispecies",0.988,"Cis bimaculatus","Cis bimaculatus"
"BigIsland","BI_01","Nysius lichenicola",1,"Nysius lichenicola","Wikispecies",0.988,"Nysius lichenicola","Nysius lichenicola"
"BigIsland","BI_01","Agonosmus argentiferus",1,"Agonosmus argentiferus","Bishop Museum",0.75,"Agonismus argentiferus","Agonismus argentiferus"
"BigIsland","BI_01","Agrotis chersotoides",1,"Agrotis chersotoides","Catalogue of Life Checklist",0.75,"Peridroma chersotoides","Peridroma chersotoides"
"BigIsland","BI_01","Scaptomyza villosa",1,"Scaptomyza villosa","Encyclopedia of Life",0.988,"Scaptomyza villosa","Scaptomyza villosa"
"Maui","MA_01","Cis bimaculatus",149,"Cis bimaculatus","Wikispecies",0.988,"Cis bimaculatus","Cis bimaculatus"
"Maui","MA_01","Drosophila obscuricornis",83,"Drosophila obscuricornis","CU*STAR",0.988,"Drosophila obscuricornis","Drosophila obscuricornis"
"Maui","MA_01","Lispocephala dentata",123,"Lispocephala dentata","Encyclopedia of Life",0.988,"Lispocephala dentata","Lispocephala dentata"
"Maui","MA_01","Hylaeus facilis",74,"Hylaeus facilis","Wikispecies",0.988,"Hylaeus facilis","Hylaeus facilis"
"Maui","MA_01","Toxeuma hawaiiensis",102,"Toxeuma hawaiiensis","Encyclopedia of Life",0.988,"Toxeuma hawaiiensis","Toxeuma hawaiiensis"
"Maui","MA_01","Laupala vespertina",52,"Laupala vespertina","National Center for Biotechnology Information",0.988,"Laupala vespertina","Laupala vespertina"
"Maui","MA_01","Proterhenus punctipennis",51,"Proterhenus punctipennis","Wikispecies",0.75,"Proterhinus punctipennis","Proterhinus punctipennis"
"Maui","MA_01","Nesomicromus haleakalae",76,"Nesomicromus haleakalae","Catalogue of Life Checklist",0.988,"Nesomicromus haleakalae","Nesomicromus haleakalae"
"Maui","MA_01","Acanthia procellaris",53,"Acanthia procellaris","uBio NameBank",0.988,"Acanthia procellaris","Acanthia procellaris"
"Maui","MA_01","Scaptomyza villosa",63,"Scaptomyza villosa","Encyclopedia of Life",0.988,"Scaptomyza villosa","Scaptomyza villosa"
"Maui","MA_01","Chrysotus parthenus",27,"Chrysotus parthenus","Encyclopedia of Life",0.988,"Chrysotus parthenus","Chrysotus parthenus"
"Maui","MA_01","Cis signatus",52,"Cis signatus","Encyclopedia of Life",0.988,"Cis signatus","Cis signatus"
"Maui","MA_01","Odynerus erythrostactes",34,"Odynerus erythrostactes","Index to Organism Names",0.988,"Odynerus erythrostactes","Odynerus erythrostactes"
"Maui","MA_01","Agrotis chersotoides",23,"Agrotis chersotoides","Catalogue of Life Checklist",0.75,"Peridroma chersotoides","Peridroma chersotoides"
"Maui","MA_01","Nysius lichenicola",16,"Nysius lichenicola","Wikispecies",0.988,"Nysius lichenicola","Nysius lichenicola"
"Maui","MA_01","Eurynogaster vittata",6,"Eurynogaster vittata","Encyclopedia of Life",0.988,"Eurynogaster vittata","Eurynogaster vittata"
"Maui","MA_01","Elmoea lanceolata",16,"Elmoea lanceolata","Catalogue of Life Checklist",0.75,"Elmoia lanceolata","Elmoia lanceolata"
"Kauai","KA_01","Proterhinus punctipennis",434,"Proterhinus punctipennis","Wikispecies",0.988,"Proterhinus punctipennis","Proterhinus punctipennis"
"Kauai","KA_01","Xyletobius collingei",41,"Xyletobius collingei","Freebase",0.988,"Xyletobius collingei","Xyletobius collingei"
"Kauai","KA_01","Metrothorax deverilli",190,"Metrothorax deverilli","Catalogue of Life Checklist",0.75,"Metrothorax deverilli","Metrothorax deverilli"
"Kauai","KA_01","Nesodynerus mimus",30,"Nesodynerus mimus","Encyclopedia of Life",0.988,"Nesodynerus mimus","Nesodynerus mimus"
"Kauai","KA_01","Scaptomyza vagabunda",81,"Scaptomyza vagabunda","National Center for Biotechnology Information",0.988,"Scaptomyza vagabunda","Scaptomyza vagabunda"
