"Order","Family","Genus","GenSp","Status"
"ACARI","Acaridae","Rhizoglyphus","Rhizoglyphus echinopus","adv"
"ACARI","Acaridae","Tyrophagus","Tyrophagus putrescentiae","adv"
"ACARI","Ascidae","Proctolaelaps","Proctolaelaps pygmaeus","adv"
"ACARI","Camerobiidae","Tycherobius","Tycherobius superbus","adv"
"ACARI","Cheyletidae","Cheyletus","Cheyletus eruditus","adv"
"ACARI","Cheyletidae","Cheyletus","Cheyletus fortis","adv"
"ACARI","Cheyletidae","Cheyletus","Cheyletus malaccensis","adv"
"ACARI","Cheyletiellidae","Neocheyletiella","Neocheyletiella media","adv"
"ACARI","Eriophyidae","Aceria","Aceria swezeyi","adv"
"ACARI","Eriophyidae","Aculops","Aculops lycopersici","adv"
"ACARI","Eriophyidae","Tegonotus","Tegonotus hibiscella","adv"
"ACARI","Eriophyidae","Tegonotus","Tegonotus mangiferae","adv"
"ACARI","Galumnidae","Galumna","Galumna alata","adv"
"ACARI","Halacaridae","Actacarus","Actacarus uniscutatus","end"
"ACARI","Laelapidae","Androlaelaps","Androlaelaps casalis","adv"
"ACARI","Laelapidae","Eulaelaps","Eulaelaps stabularis","adv"
"ACARI","Laelapidae","Hypoaspis","Hypoaspis aculeifer","adv"
"ACARI","Laelapidae","Hypoaspis","Hypoaspis miles","adv"
"ACARI","Laelapidae","Hypoaspis","Hypoaspis queenslandicus","adv"
"ACARI","Laelapidae","Laelaps","Laelaps echidnina","adv"
"ACARI","Laelapidae","Pseudoparasitus","Pseudoparasitus stigmaticus","adv"
"ACARI","Liodidae","Liodes","Liodes theleproctus","adv"
"ACARI","Macrochelidae","Glyptholaspis","Glyptholaspis americana","adv"
"ACARI","Oehserchestidae","Oehserchestes","Oehserchestes arboriger","adv"
"ACARI","Oribatulidae","Calvoppia","Calvoppia perkinsi","end"
"ACARI","Oribatulidae","Cardioribates","Cardioribates oriformis","adv"
"ACARI","Oripodidae","Oripoda","Oripoda prominens","end"
"ACARI","Parholaspidae","Holaspulus","Holaspulus tenuipes","adv"
"ACARI","Phthiracaridae","Phthiracarus","Phthiracarus dasypus","adv"
"ACARI","Phytoseiidae","Amblyseius","Amblyseius largoensis","adv"
"ACARI","Phytoseiidae","Euseius","Euseius haramotoi","end"
"ACARI","Phytoseiidae","Euseius","Euseius ovalis","adv"
"ACARI","Phytoseiidae","Neoseiulus","Neoseiulus aurescens","adv"
"ACARI","Phytoseiidae","Neoseiulus","Neoseiulus longispinosus","adv"
"ACARI","Phytoseiidae","Neoseiulus","Neoseiulus oahuensis","end"
"ACARI","Phytoseiidae","Neoseiulus","Neoseiulus setulus","adv"
"ACARI","Phytoseiidae","Phytoseius","Phytoseius hawaiiensis","adv"
"ACARI","Phytoseiidae","Phytoseius","Phytoseius woodburyi","adv"
"ACARI","Phytoseiidae","Proprioseiopsis","Proprioseiopsis ovatus","adv"
"ACARI","Phytoseiidae","Typhlodromalus","Typhlodromalus peregrinus","adv"
"ACARI","Phytoseiidae","Typhlodromus","Typhlodromus occidentalis","adv"
"ACARI","Pterygosomatidae","Geckobia","Geckobia keegani","adv"
"ACARI","Pterygosomatidae","Geckobia","Geckobia nepalii","adv"
"ACARI","Pygmephoridae","Pygmephorus","Pygmephorus mesembrinae","adv"
"ACARI","Rhagidiidae","Shibaia","Shibaia longisensilla","adv"
