"island","site","GenSp","abundance"
"kauai","kauai_01","Scatella bryani",2
"kauai","kauai_01","Necrobia ruficollis",6
"kauai","kauai_01","Nesophrosyne umbratilis",3
"kauai","kauai_01","Pandesma anysa",1
"kauai","kauai_01","Blepyrus insularis",1
"kauai","kauai_01","Nesophryne kukanaroa",5
"kauai","kauai_01","Anthomyia vicarians",2
"kauai","kauai_01","Pseudocymus hawaiiensis",1
"kauai","kauai_01","Columbicola columbae",1
"kauai","kauai_01","Banza affinis",4
"kauai","kauai_01","Selenophorus striatopunctatus",4
"kauai","kauai_01","Eudonia siderina",2
"kauai","kauai_01","Philodoria hibiscella",2
"kauai","kauai_01","Psychoda hardyi",1
"kauai","kauai_01","Hyposmocoma fractivittella",2
"kauai","kauai_01","Brevicoryne brassicae",5
"kauai","kauai_01","Entomobrya sauteri",1
"kauai","kauai_01","Reduviolus tarai",3
"kauai","kauai_01","Plagithmysus polystictus",3
"kauai","kauai_01","Prognathogryllus inexpectatus",1
"kauai","kauai_01","Laupala kokeensis",1
"kauai","kauai_01","Trigonidium virens",1
"kauai","kauai_01","Oodemas longicorne",2
"kauai","kauai_01","Unadilla bidensana",2
"kauai","kauai_01","Ctenosciara hawaiiensis",7
"kauai","kauai_01","Spherillo albospinosus",1
"kauai","kauai_01","Nesobiella hospes",4
"kauai","kauai_01","Nesodynerus xanthorhoes",3
"kauai","kauai_01","Hyposmocoma scandens",2
"kauai","kauai_01","Xenopsylla cheopis",1
"kauai","kauai_01","Tapinoma melanocephalum",2
"kauai","kauai_01","Hyposmocoma bacillella",2
"kauai","kauai_01","Acalles pallidicollis",1
"kauai","kauai_01","Latrodectus mactans",5
"kauai","kauai_01","Anomalochrysa rufescens",1
"kauai","kauai_01","Eudonia zophochlora",2
"kauai","kauai_01","Aedes aegypti",3
"kauai","kauai_01","Hydroptila arctia",3
"kauai","kauai_01","Apanteles carpatus",4
"kauai","kauai_01","Blackburnia lata",2
"kauai","kauai_01","Atheta coriaria",1
"kauai","kauai_01","Protalebrella brasiliensis",1
"kauai","kauai_01","Culex quinquefasciatus",2
"kauai","kauai_01","Pieris rapae",1
"kauai","kauai_01","Megachile diligens",2
"kauai","kauai_01","Dioxyna sororcula",1
"kauai","kauai_01","Pseudopachybrachius vinctus",4
"kauai","kauai_01","Opalimosina mirabilis",5
"kauai","kauai_01","Ptycta diastema",3
"kauai","kauai_01","Hyposmocoma rubescens",1
"kauai","kauai_01","Geocoris punctipes",1
"kauai","kauai_01","Xyletobius brunneri",2
"kauai","kauai_01","Drosophila sejuncta",3
"kauai","kauai_01","Odynerus xanthorhoes",2
"kauai","kauai_01","Odynerus sandwichensis",2
"kauai","kauai_01","Palistreptus lobatus",1
"kauai","kauai_01","Orthezia insignis",2
"kauai","kauai_01","Plastosciara longicosta",2
"kauai","kauai_01","Hyposmocoma chloraula",1
"kauai","kauai_01","Musca sorbens",2
"kauai","kauai_01","Dryotribus mimeticus",3
"kauai","kauai_01","Rhyncogonus haupu",2
"kauai","kauai_01","Agonoxena argaula",2
"kauai","kauai_01","Aeletes minor",7
"kauai","kauai_01","Neosciara molokaiensis",5
"kauai","kauai_01","Acalles leptothorax",1
"kauai","kauai_01","Stenomicra fascipennis",2
"kauai","kauai_01","Megalagrion vagabundum",1
"kauai","kauai_01","Euxesta annonae",2
"kauai","kauai_01","Pachybrachius vinctus",1
"kauai","kauai_01","Mantua fulvosericea",1
"kauai","kauai_01","Eupelmus flavipes",2
"kauai","kauai_01","Coccotrypes carpophagus",1
"kauai","kauai_01","Plagithmysus longipes",1
"kauai","kauai_01","Cis cognatissimus",2
"kauai","kauai_01","Drosophila crassifemur",2
"kauai","kauai_01","Periplaneta americana",5
"kauai","kauai_01","Hypocala deflorata",3
"kauai","kauai_01","Sarcophaga argyrostoma",2
"kauai","kauai_01","Disenochus curtipes",4
"kauai","kauai_01","Rhyncogonus depressus",2
"kauai","kauai_01","Drosophila antecedens",2
"kauai","kauai_01","Gymnodia arcuata",1
"kauai","kauai_01","Engytatus modestus",1
"kauai","kauai_01","Proterhinus scutatus",1
"kauai","kauai_01","Trigonidium robustum",5
"kauai","kauai_01","Stenoptilodes taprobanes brachymorpha",4
"kauai","kauai_01","Carpophilus dimidiatus",2
"kauai","kauai_01","Eupithecia monticolens",6
"kauai","kauai_01","Nesodynerus homochromus",4
"kauai","kauai_01","Carposina cervinella",6
"kauai","kauai_01","Scotorythra crocorrhoa",2
"kauai","kauai_01","Bembidion munroi brevicolle",1
"kauai","kauai_01","Tetragnatha uncifera",1
"kauai","kauai_01","Blackburnia waialeale",1
"kauai","kauai_01","Dryophthorus kauaiensis",3
"kauai","kauai_01","Thyrocopa viduella",4
"kauai","kauai_01","Stethynium triclavatum",2
"kauai","kauai_01","Leptogryllus haupu",3
"kauai","kauai_01","Dolichopus exsul",2
"kauai","kauai_01","Stoeberhinus testaceus",2
"kauai","kauai_01","Proterhinus binotatus",3
"kauai","kauai_01","Cephalops bicuspidis",3
"kauai","kauai_01","Acizzia uncatoides",1
"kauai","kauai_01","Hemiteles tenellus",4
"kauai","kauai_01","Lepidocyrtus uku",2
"kauai","kauai_01","Eopenthes funebris",4
"kauai","kauai_01","Pseudaulacaspis pentagona",3
"kauai","kauai_01","Oliarus tamehameha",2
"kauai","kauai_01","Neomachilis perkinsi",2
"kauai","kauai_01","Odontella kapii",3
"kauai","kauai_01","Procanace nigroviridis",1
"kauai","kauai_01","Nesodynerus vittativentris",2
"kauai","kauai_01","Orchidophilus peregrinator",1
"kauai","kauai_01","Trigonidium paranoe",8
"kauai","kauai_01","Coccidoxenoides peregrina",2
"kauai","kauai_01","Homoeosoma amphibola",1
"kauai","kauai_01","Acanthia exulans",2
"kauai","kauai_01","Scatella clavipes",4
"kauai","kauai_01","Trissodoris honorariella",3
"kauai","kauai_01","Ligia perkinsi",3
"kauai","kauai_01","Scaptomyza striatifrons",2
"kauai","kauai_01","Heterotoma merioptera",5
"kauai","kauai_01","Hellula undalis",2
"kauai","kauai_01","Tetragnatha mohihi",2
"kauai","kauai_01","Planococcus citri",2
"kauai","kauai_01","Pectinophora gossypiella",1
"kauai","kauai_01","Myllaena rufescens",2
"kauai","kauai_01","Philodoria hauicola",1
"kauai","kauai_01","Thrips vitticornis",1
"kauai","kauai_01","Hypothenemus birmanus",1
"kauai","kauai_01","Psallus sharpianus",1
"kauai","kauai_01","Carpophilus maculatus",4
"kauai","kauai_01","Trigonidium makau",2
"kauai","kauai_01","Trigonidium flectens",1
"kauai","kauai_01","Blackburnia pavida",2
"kauai","kauai_01","Hyposmocoma paltodorella",3
"kauai","kauai_01","Udea monticolans",1
"kauai","kauai_01","Modicogryllus conspersus",1
"kauai","kauai_01","Palistreptus fuscifrons",8
"kauai","kauai_01","Hyposmocoma tarsimaculata",1
"kauai","kauai_01","Euodynerus localis",4
"kauai","kauai_01","Hyposmocoma trichophora",1
"kauai","kauai_01","Prognathogryllus pararobustus",3
"kauai","kauai_01","Nesiomiris fasciatus",3
"kauai","kauai_01","Salina celebensis",3
"kauai","kauai_01","Eumerus figurans",4
"kauai","kauai_01","Scaptomyza innotabilis",5
"kauai","kauai_01","Thrips alliorum",5
"kauai","kauai_01","Sarcophaga ruficornis",3
"kauai","kauai_01","Tetragnatha quasimodo",4
"kauai","kauai_01","Liodes theleproctus",1
"kauai","kauai_01","Plexippus paykulli",3
"kauai","kauai_01","Monopis meliorella",2
"kauai","kauai_01","Telmatogeton torrenticola",2
"kauai","kauai_01","Phytoseius woodburyi",2
"kauai","kauai_01","Hyposmocoma cuprea",1
