"island","site","GenSp","final_name"
"Kauai","Kauai_01","Xyleborus perforans","Xyleborus perforans"
"Kauai","Kauai_01","Xyleborus perforans","Xyleborus perforans"
"Kauai","Kauai_01","Xyleborus perforans","Xyleborus perforans"
"Kauai","Kauai_01","Xyleborus perforans","Xyleborus perforans"
"Kauai","Kauai_01","Xyleborus perforans","Xyleborus perforans"
"Kauai","Kauai_01","Xyleborus perforans","Xyleborus perforans"
"Kauai","Kauai_01","Agrotis chersotoides","Peridroma chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides","Peridroma chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides","Peridroma chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides","Peridroma chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides","Peridroma chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides","Peridroma chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides","Peridroma chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides","Peridroma chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides","Peridroma chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides","Peridroma chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides","Peridroma chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides","Peridroma chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides","Peridroma chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides","Peridroma chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides","Peridroma chersotoides"
"Kauai","Kauai_01","Oligotoma saundersii","Oligotoma saundersii"
"Kauai","Kauai_01","Oligotoma saundersii","Oligotoma saundersii"
"Kauai","Kauai_01","Oligotoma saundersii","Oligotoma saundersii"
"Kauai","Kauai_01","Oligotoma saundersii","Oligotoma saundersii"
"Kauai","Kauai_01","Oligotoma saundersii","Oligotoma saundersii"
"Kauai","Kauai_01","Oligotoma saundersii","Oligotoma saundersii"
"Kauai","Kauai_01","Oligotoma saundersii","Oligotoma saundersii"
"Kauai","Kauai_01","Oligotoma saundersii","Oligotoma saundersii"
"Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"Kauai","Kauai_01","Pseudosinella kalalauensis","Pseudosinella kalalauensis"
"Kauai","Kauai_01","Pseudosinella kalalauensis","Pseudosinella kalalauensis"
"Kauai","Kauai_01","Thyrocopa usitata","Thyrocopa usitata"
"Kauai","Kauai_01","Thyrocopa usitata","Thyrocopa usitata"
"Kauai","Kauai_01","Thyrocopa usitata","Thyrocopa usitata"
"Kauai","Kauai_01","Thyrocopa usitata","Thyrocopa usitata"
"Kauai","Kauai_01","Thyrocopa usitata","Thyrocopa usitata"
"Kauai","Kauai_01","Thyrocopa usitata","Thyrocopa usitata"
"Kauai","Kauai_01","Thyrocopa usitata","Thyrocopa usitata"
"Kauai","Kauai_01","Thyrocopa usitata","Thyrocopa usitata"
"Kauai","Kauai_01","Thyrocopa usitata","Thyrocopa usitata"
"Kauai","Kauai_01","Oligota kauaiensis","Oligota kauaiensis"
"Kauai","Kauai_01","Oligota kauaiensis","Oligota kauaiensis"
"Kauai","Kauai_01","Oligota kauaiensis","Oligota kauaiensis"
