"island","site","GenSp"
"Kauai","Kauai_01","Xyleborus perforans"
"Kauai","Kauai_01","Xyleborus perforans"
"Kauai","Kauai_01","Xyleborus perforans"
"Kauai","Kauai_01","Xyleborus perforans"
"Kauai","Kauai_01","Xyleborus perforans"
"Kauai","Kauai_01","Xyleborus perforans"
"Kauai","Kauai_01","Agrotis chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides"
"Kauai","Kauai_01","Agrotis chersotoides"
"Kauai","Kauai_01","Oligotoma saundersii"
"Kauai","Kauai_01","Oligotoma saundersii"
"Kauai","Kauai_01","Oligotoma saundersii"
"Kauai","Kauai_01","Oligotoma saundersii"
"Kauai","Kauai_01","Oligotoma saundersii"
"Kauai","Kauai_01","Oligotoma saundersii"
"Kauai","Kauai_01","Oligotoma saundersii"
"Kauai","Kauai_01","Oligotoma saundersii"
"Kauai","Kauai_01","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis"
"Kauai","Kauai_01","Drosophila humeralis"
"Kauai","Kauai_01","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata"
"Kauai","Kauai_01","Entomobrya griseoolivata"
