"","island","site","GenSp","final_name"
"1","Kauai","Kauai_01","Xyleborus perforans","Xyleborus perforans"
"2","Kauai","Kauai_01","Xyleborus perforans","Xyleborus perforans"
"3","Kauai","Kauai_01","Xyleborus perforans","Xyleborus perforans"
"4","Kauai","Kauai_01","Xyleborus perforans","Xyleborus perforans"
"5","Kauai","Kauai_01","Xyleborus perforans","Xyleborus perforans"
"6","Kauai","Kauai_01","Xyleborus perforans","Xyleborus perforans"
"7","Kauai","Kauai_01","Agrotis chersotoides","Agrotis"
"8","Kauai","Kauai_01","Agrotis chersotoides","Agrotis"
"9","Kauai","Kauai_01","Agrotis chersotoides","Agrotis"
"10","Kauai","Kauai_01","Agrotis chersotoides","Agrotis"
"11","Kauai","Kauai_01","Agrotis chersotoides","Agrotis"
"12","Kauai","Kauai_01","Agrotis chersotoides","Agrotis"
"13","Kauai","Kauai_01","Agrotis chersotoides","Agrotis"
"14","Kauai","Kauai_01","Agrotis chersotoides","Agrotis"
"15","Kauai","Kauai_01","Agrotis chersotoides","Agrotis"
"16","Kauai","Kauai_01","Agrotis chersotoides","Agrotis"
"17","Kauai","Kauai_01","Agrotis chersotoides","Agrotis"
"18","Kauai","Kauai_01","Agrotis chersotoides","Agrotis"
"19","Kauai","Kauai_01","Agrotis chersotoides","Agrotis"
"20","Kauai","Kauai_01","Agrotis chersotoides","Agrotis"
"21","Kauai","Kauai_01","Agrotis chersotoides","Agrotis"
"22","Kauai","Kauai_01","Oligotoma saundersii","Oligotoma saundersii"
"23","Kauai","Kauai_01","Oligotoma saundersii","Oligotoma saundersii"
"24","Kauai","Kauai_01","Oligotoma saundersii","Oligotoma saundersii"
"25","Kauai","Kauai_01","Oligotoma saundersii","Oligotoma saundersii"
"26","Kauai","Kauai_01","Oligotoma saundersii","Oligotoma saundersii"
"27","Kauai","Kauai_01","Oligotoma saundersii","Oligotoma saundersii"
"28","Kauai","Kauai_01","Oligotoma saundersii","Oligotoma saundersii"
"29","Kauai","Kauai_01","Oligotoma saundersii","Oligotoma saundersii"
"30","Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"31","Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"32","Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"33","Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"34","Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"35","Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"36","Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"37","Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"38","Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"39","Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"40","Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"41","Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"42","Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"43","Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"44","Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"45","Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"46","Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"47","Kauai","Kauai_01","Drosophila humeralis","Drosophila humeralis"
"48","Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"49","Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"50","Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"51","Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"52","Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"53","Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"54","Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"55","Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"56","Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"57","Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"58","Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"59","Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"60","Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"61","Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"62","Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"63","Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"64","Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"65","Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"66","Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"67","Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"68","Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"69","Kauai","Kauai_01","Entomobrya griseoolivata","Entomobrya griseoolivata"
"70","Kauai","Kauai_01","Pseudosinella kalalauensis","Pseudosinella kalalauensis"
"71","Kauai","Kauai_01","Pseudosinella kalalauensis","Pseudosinella kalalauensis"
"72","Kauai","Kauai_01","Thyrocopa usitata","Thyrocopa usitata"
"73","Kauai","Kauai_01","Thyrocopa usitata","Thyrocopa usitata"
"74","Kauai","Kauai_01","Thyrocopa usitata","Thyrocopa usitata"
"75","Kauai","Kauai_01","Thyrocopa usitata","Thyrocopa usitata"
"76","Kauai","Kauai_01","Thyrocopa usitata","Thyrocopa usitata"
"77","Kauai","Kauai_01","Thyrocopa usitata","Thyrocopa usitata"
"78","Kauai","Kauai_01","Thyrocopa usitata","Thyrocopa usitata"
"79","Kauai","Kauai_01","Thyrocopa usitata","Thyrocopa usitata"
"80","Kauai","Kauai_01","Thyrocopa usitata","Thyrocopa usitata"
"81","Kauai","Kauai_01","Oligota kauaiensis","Oligota kauaiensis"
"82","Kauai","Kauai_01","Oligota kauaiensis","Oligota kauaiensis"
"83","Kauai","Kauai_01","Oligota kauaiensis","Oligota kauaiensis"
"84","Kauai","Kauai_01","Oligota kauaiensis","Oligota kauaiensis"
"85","Kauai","Kauai_01","Oligota kauaiensis","Oligota kauaiensis"
"86","Kauai","Kauai_01","Oligota kauaiensis","Oligota kauaiensis"
"87","Kauai","Kauai_01","Oligota kauaiensis","Oligota kauaiensis"
"88","Kauai","Kauai_01","Oligota kauaiensis","Oligota kauaiensis"
"89","Kauai","Kauai_01","Oligota kauaiensis","Oligota kauaiensis"
"90","Kauai","Kauai_01","Oligota kauaiensis","Oligota kauaiensis"
"91","Kauai","Kauai_01","Oligota kauaiensis","Oligota kauaiensis"
"92","Kauai","Kauai_01","Oligota kauaiensis","Oligota kauaiensis"
"93","Kauai","Kauai_01","Oligota kauaiensis","Oligota kauaiensis"
"94","Kauai","Kauai_01","Oligota kauaiensis","Oligota kauaiensis"
"95","Kauai","Kauai_01","Oligota kauaiensis","Oligota kauaiensis"
"96","Kauai","Kauai_01","Oligota kauaiensis","Oligota kauaiensis"
"97","Kauai","Kauai_01","Oligota kauaiensis","Oligota kauaiensis"
"98","Kauai","Kauai_01","Oligota kauaiensis","Oligota kauaiensis"
"99","Kauai","Kauai_01","Scotorythra arboricolans","Scotorythra arboricolans"
"100","Kauai","Kauai_01","Scotorythra arboricolans","Scotorythra arboricolans"
"101","Kauai","Kauai_01","Scotorythra arboricolans","Scotorythra arboricolans"
"102","Kauai","Kauai_01","Scotorythra arboricolans","Scotorythra arboricolans"
"103","Kauai","Kauai_01","Scotorythra arboricolans","Scotorythra arboricolans"
"104","Kauai","Kauai_01","Scotorythra arboricolans","Scotorythra arboricolans"
"105","Kauai","Kauai_01","Scotorythra arboricolans","Scotorythra arboricolans"
"106","Kauai","Kauai_01","Scotorythra arboricolans","Scotorythra arboricolans"
"107","Kauai","Kauai_01","Scotorythra arboricolans","Scotorythra arboricolans"
"108","Kauai","Kauai_01","Scotorythra arboricolans","Scotorythra arboricolans"
"109","Kauai","Kauai_01","Necrobia ruficollis","Necrobia ruficollis"
"110","Kauai","Kauai_01","Necrobia ruficollis","Necrobia ruficollis"
"111","Kauai","Kauai_01","Necrobia ruficollis","Necrobia ruficollis"
"112","Kauai","Kauai_01","Necrobia ruficollis","Necrobia ruficollis"
"113","Kauai","Kauai_01","Necrobia ruficollis","Necrobia ruficollis"
"114","Kauai","Kauai_01","Necrobia ruficollis","Necrobia ruficollis"
"115","Kauai","Kauai_01","Necrobia ruficollis","Necrobia ruficollis"
"116","Kauai","Kauai_01","Necrobia ruficollis","Necrobia ruficollis"
"117","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"118","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"119","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"120","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"121","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"122","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"123","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"124","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"125","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"126","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"127","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"128","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"129","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"130","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"131","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"132","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"133","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"134","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"135","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"136","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"137","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"138","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"139","Kauai","Kauai_01","Agrotis xiphias","Agrotis xiphias"
"140","Kauai","Kauai_01","Thrips hawaiiensis","Thrips hawaiiensis"
"141","Kauai","Kauai_01","Thrips hawaiiensis","Thrips hawaiiensis"
"142","Kauai","Kauai_01","Thrips hawaiiensis","Thrips hawaiiensis"
"143","Kauai","Kauai_01","Thrips hawaiiensis","Thrips hawaiiensis"
"144","Kauai","Kauai_01","Thrips hawaiiensis","Thrips hawaiiensis"
"145","Kauai","Kauai_01","Thrips hawaiiensis","Thrips hawaiiensis"
"146","Kauai","Kauai_01","Thrips hawaiiensis","Thrips hawaiiensis"
"147","Kauai","Kauai_01","Thrips hawaiiensis","Thrips hawaiiensis"
