"site","island","final_name","abundance"
"HawaiiIsland_01","HawaiiIsland","Acanthia procellaris",3
"HawaiiIsland_01","HawaiiIsland","Actia eucosmae",4
"HawaiiIsland_01","HawaiiIsland","Anomalochrysa fulvescens rhododora",2
"HawaiiIsland_01","HawaiiIsland","Anoplolepis gracilipes",5
"HawaiiIsland_01","HawaiiIsland","Anurophorus lohi",2
"HawaiiIsland_01","HawaiiIsland","Aphis citricola",3
"HawaiiIsland_01","HawaiiIsland","Carphuroides pectinatus",7
"HawaiiIsland_01","HawaiiIsland","Carposina achroana",1
"HawaiiIsland_01","HawaiiIsland","Carulaspis minima",1
"HawaiiIsland_01","HawaiiIsland","Chlorichaeta albipennis",2
"HawaiiIsland_01","HawaiiIsland","Cillaeopeplus dubius",2
"HawaiiIsland_01","HawaiiIsland","Cis insulicola",1
"HawaiiIsland_01","HawaiiIsland","Cis nudipennis",2
"HawaiiIsland_01","HawaiiIsland","Cydia obliqua",3
"HawaiiIsland_01","HawaiiIsland","Dicranomyia hawaiiensis",1
"HawaiiIsland_01","HawaiiIsland","Drosophila lepidobregma",3
"HawaiiIsland_01","HawaiiIsland","Drosophila perkinsi",4
"HawaiiIsland_01","HawaiiIsland","Echthromorpha fuscator",4
"HawaiiIsland_01","HawaiiIsland","Elenchus melanias",1
"HawaiiIsland_01","HawaiiIsland","Epiphanis tristis",1
"HawaiiIsland_01","HawaiiIsland","Eupelmus paraleucothrix",20
"HawaiiIsland_01","HawaiiIsland","Eupodes sigmoidensis",8
"HawaiiIsland_01","HawaiiIsland","Fannia canicularis",1
"HawaiiIsland_01","HawaiiIsland","Hedylepta blackburni",5
"HawaiiIsland_01","HawaiiIsland","Heteropsylla cubana",2
"HawaiiIsland_01","HawaiiIsland","Hypogastrura pahiku",4
"HawaiiIsland_01","HawaiiIsland","Ilburnia coprosmicola",1
"HawaiiIsland_01","HawaiiIsland","Laupala nigra",2
"HawaiiIsland_01","HawaiiIsland","Lispocephala fuscobrunnea",2
"HawaiiIsland_01","HawaiiIsland","Listroderes costirostris",13
"HawaiiIsland_01","HawaiiIsland","Mecyclothorax purpuripennis",7
"HawaiiIsland_01","HawaiiIsland","Mestolobes droseropa",2
"HawaiiIsland_01","HawaiiIsland","Metaphycus anneckei",1
"HawaiiIsland_01","HawaiiIsland","Myllaena pacifica",1
"HawaiiIsland_01","HawaiiIsland","Neoscona theisi",5
"HawaiiIsland_01","HawaiiIsland","Nesogonia blackburni",19
"HawaiiIsland_01","HawaiiIsland","Nesomimesa hawaiiensis",1
"HawaiiIsland_01","HawaiiIsland","Notiphila insularis",1
"HawaiiIsland_01","HawaiiIsland","Notoedres cati",9
"HawaiiIsland_01","HawaiiIsland","Nysius montivagus",10
"HawaiiIsland_01","HawaiiIsland","Omiodes anastrepta",10
"HawaiiIsland_01","HawaiiIsland","Ophiusa disjungens",2
"HawaiiIsland_01","HawaiiIsland","Orthoea vincta",3
"HawaiiIsland_01","HawaiiIsland","Paratrechina bourbonica",6
"HawaiiIsland_01","HawaiiIsland","Pauahiana lineata",1
"HawaiiIsland_01","HawaiiIsland","Pediobius wilderi",6
"HawaiiIsland_01","HawaiiIsland","Pedronia cibotii",4
"HawaiiIsland_01","HawaiiIsland","Phytoseius hawaiiensis",2
"HawaiiIsland_01","HawaiiIsland","Pilorhagidia hirsuta",1
"HawaiiIsland_01","HawaiiIsland","Piophila casei",1
"HawaiiIsland_01","HawaiiIsland","Plagithmysus laticollis",1
"HawaiiIsland_01","HawaiiIsland","Projectothrips trespinus",1
"HawaiiIsland_01","HawaiiIsland","Psilopa olga",3
"HawaiiIsland_01","HawaiiIsland","Scaptomyza adunca",20
"HawaiiIsland_01","HawaiiIsland","Syrphophagus aphidivorus",1
"HawaiiIsland_01","HawaiiIsland","Tegonotus hibiscella",1
"HawaiiIsland_01","HawaiiIsland","Trigonidium kona",16
"HawaiiIsland_01","HawaiiIsland","Tympanococcus tympanistus",1
"HawaiiIsland_01","HawaiiIsland","Xyleborus vulcanus",1
"Kauai_01","Kauai","Aedes nocturnus",1
"Kauai_01","Kauai","Agrotis chersotoides",15
"Kauai_01","Kauai","Agrotis xiphias",23
"Kauai_01","Kauai","Aleurothrixus floccosus",3
"Kauai_01","Kauai","Bembidion munroi brevicolle",8
"Kauai_01","Kauai","Brontolaemus nudicornis",5
"Kauai_01","Kauai","Campsicnemus penicillatus",7
"Kauai_01","Kauai","Cardiocondyla venustula",12
"Kauai_01","Kauai","Cardiocondyla wroughtonii",19
"Kauai_01","Kauai","Carposina olivaceonitens",13
"Kauai_01","Kauai","Carposina viridis",6
"Kauai_01","Kauai","Carulaspis giffardi",4
"Kauai_01","Kauai","Cheyletus eruditus",23
"Kauai_01","Kauai","Chrysomphalus dictyospermi",3
"Kauai_01","Kauai","Chrysoperla comanche",5
"Kauai_01","Kauai","Cligenes marianensis",15
"Kauai_01","Kauai","Clunio vagans",14
"Kauai_01","Kauai","Coccygomimus punicipes",2
"Kauai_01","Kauai","Conioscinella formosa",1
"Kauai_01","Kauai","Contarinia sorghicola",4
"Kauai_01","Kauai","Cryptophlebia ombrodelta",5
"Kauai_01","Kauai","Dacnitus currax",14
"Kauai_01","Kauai","Decadarchis penicillata",6
"Kauai_01","Kauai","Dialeurodes kirkaldyi",8
"Kauai_01","Kauai","Diplonevra peregrina",19
"Kauai_01","Kauai","Disenochus erythropus",15
"Kauai_01","Kauai","Drosophila humeralis",18
"Kauai_01","Kauai","Drosophila ornata",5
"Kauai_01","Kauai","Drosophila papaalai",12
"Kauai_01","Kauai","Dyscritomyia fulgens",4
"Kauai_01","Kauai","Entomobrya griseoolivata",22
"Kauai_01","Kauai","Epiphyas postvittana",13
"Kauai_01","Kauai","Evaza javanensis",7
"Kauai_01","Kauai","Friesea oleia",11
"Kauai_01","Kauai","Hawaiodillo sharpi",11
"Kauai_01","Kauai","Hemiberlesia rapax",8
"Kauai_01","Kauai","Heterocrossa plumbeonitida",33
"Kauai_01","Kauai","Holcobius frater",4
"Kauai_01","Kauai","Holcobius insignis",18
"Kauai_01","Kauai","Hypocala deflorata",4
"Kauai_01","Kauai","Hyposmocoma centralis",11
"Kauai_01","Kauai","Hyposmocoma divisa",4
"Kauai_01","Kauai","Hyposmocoma palmivora",12
"Kauai_01","Kauai","Hyposmocoma petroptilota",7
"Kauai_01","Kauai","Hyposmocoma sordidella",7
"Kauai_01","Kauai","Laupala kanaele",10
"Kauai_01","Kauai","Laupala wailua",9
"Kauai_01","Kauai","Lycaena boetica",15
"Kauai_01","Kauai","Mesothriscus optimus",3
"Kauai_01","Kauai","Mesovelia mulsanti",11
"Kauai_01","Kauai","Nabis blackburni",18
"Kauai_01","Kauai","Nabis lolupe",10
"Kauai_01","Kauai","Necrobia ruficollis",8
"Kauai_01","Kauai","Neelus minutus",7
"Kauai_01","Kauai","Nesiomiris seminotatus",19
"Kauai_01","Kauai","Nesodynerus sandwichensis",6
"Kauai_01","Kauai","Nipponorthezia guadalcanalia",8
"Kauai_01","Kauai","Oceanides humeralis",3
"Kauai_01","Kauai","Oliarus kauaiensis",8
"Kauai_01","Kauai","Oligota kauaiensis",18
"Kauai_01","Kauai","Oligotoma saundersii",8
"Kauai_01","Kauai","Onychiurus folsomi",12
"Kauai_01","Kauai","Orthellia caesarion",14
"Kauai_01","Kauai","Oxytelus advena",6
"Kauai_01","Kauai","Paralabella curvicauda",3
"Kauai_01","Kauai","Pararrhaptica dermatopa",15
"Kauai_01","Kauai","Peridroma coniotis",3
"Kauai_01","Kauai","Phidippus audax",29
"Kauai_01","Kauai","Plagithmysus sugawai",8
"Kauai_01","Kauai","Polypedilum nubiferum",19
"Kauai_01","Kauai","Proterhinus setiger",15
"Kauai_01","Kauai","Psammoechus insularis",12
"Kauai_01","Kauai","Pseudopterocheilus relictus",8
"Kauai_01","Kauai","Pseudosinella kalalauensis",2
"Kauai_01","Kauai","Quadristruma emmae",10
"Kauai_01","Kauai","Scaptomyza hardyi",8
"Kauai_01","Kauai","Scholastes bimaculatus",5
"Kauai_01","Kauai","Schrankia altivolans",7
"Kauai_01","Kauai","Schrankia simplex",6
