"island","site","GenSp","abundance"
"HawaiiIsland","HawaiiIsland_01","Acanthia procellaris",3
"HawaiiIsland","HawaiiIsland_01","Actia eucosmae",4
"HawaiiIsland","HawaiiIsland_01","Anomalochrysa fulvescens rhododora",2
"HawaiiIsland","HawaiiIsland_01","Anoplolepis gracilipes",5
"HawaiiIsland","HawaiiIsland_01","Anurophorus lohi",2
"HawaiiIsland","HawaiiIsland_01","Aphis citricola",3
"HawaiiIsland","HawaiiIsland_01","Carphuroides pectinatus",7
"HawaiiIsland","HawaiiIsland_01","Carposina achroana",1
"HawaiiIsland","HawaiiIsland_01","Carulaspis minima",1
"HawaiiIsland","HawaiiIsland_01","Chlorichaeta albipennis",2
"HawaiiIsland","HawaiiIsland_01","Cillaeopeplus dubius",2
"HawaiiIsland","HawaiiIsland_01","Cis insulicola",1
"HawaiiIsland","HawaiiIsland_01","Cis nudipennis",2
"HawaiiIsland","HawaiiIsland_01","Cydia obliqua",3
"HawaiiIsland","HawaiiIsland_01","Dicranomyia hawaiiensis",1
"HawaiiIsland","HawaiiIsland_01","Drosophila lepidobregma",3
"HawaiiIsland","HawaiiIsland_01","Drosophila perkinsi",4
"HawaiiIsland","HawaiiIsland_01","Echthromorpha fuscator",4
"HawaiiIsland","HawaiiIsland_01","Elenchus melanias",1
"HawaiiIsland","HawaiiIsland_01","Epiphanis tristis",1
"HawaiiIsland","HawaiiIsland_01","Eupelmus paraleucothrix",20
"HawaiiIsland","HawaiiIsland_01","Eupodes sigmoidensis",8
"HawaiiIsland","HawaiiIsland_01","Fannia canicularis",1
"HawaiiIsland","HawaiiIsland_01","Hedylepta blackburni",5
"HawaiiIsland","HawaiiIsland_01","Heteropsylla cubana",2
"HawaiiIsland","HawaiiIsland_01","Hypogastrura pahiku",4
"HawaiiIsland","HawaiiIsland_01","Ilburnia coprosmicola",1
"HawaiiIsland","HawaiiIsland_01","Laupala nigra",2
"HawaiiIsland","HawaiiIsland_01","Lispocephala fuscobrunnea",2
"HawaiiIsland","HawaiiIsland_01","Listroderes costirostris",13
"HawaiiIsland","HawaiiIsland_01","Mecyclothorax purpuripennis",7
"HawaiiIsland","HawaiiIsland_01","Mestolobes droseropa",2
"HawaiiIsland","HawaiiIsland_01","Metaphycus anneckei",1
"HawaiiIsland","HawaiiIsland_01","Myllaena pacifica",1
"HawaiiIsland","HawaiiIsland_01","Neoscona theisi",5
"HawaiiIsland","HawaiiIsland_01","Nesogonia blackburni",19
"HawaiiIsland","HawaiiIsland_01","Nesomimesa hawaiiensis",1
"HawaiiIsland","HawaiiIsland_01","Notiphila insularis",1
"HawaiiIsland","HawaiiIsland_01","Notoedres cati",9
"HawaiiIsland","HawaiiIsland_01","Nysius montivagus",10
"HawaiiIsland","HawaiiIsland_01","Omiodes anastrepta",10
"HawaiiIsland","HawaiiIsland_01","Ophiusa disjungens",2
"HawaiiIsland","HawaiiIsland_01","Orthoea vincta",3
"HawaiiIsland","HawaiiIsland_01","Paratrechina bourbonica",6
"HawaiiIsland","HawaiiIsland_01","Pauahiana lineata",1
"HawaiiIsland","HawaiiIsland_01","Pediobius wilderi",6
"HawaiiIsland","HawaiiIsland_01","Pedronia cibotii",4
"HawaiiIsland","HawaiiIsland_01","Phytoseius hawaiiensis",2
"HawaiiIsland","HawaiiIsland_01","Pilorhagidia hirsuta",1
"HawaiiIsland","HawaiiIsland_01","Piophila casei",1
"HawaiiIsland","HawaiiIsland_01","Plagithmysus laticollis",1
"HawaiiIsland","HawaiiIsland_01","Projectothrips trespinus",1
"HawaiiIsland","HawaiiIsland_01","Psilopa olga",3
"HawaiiIsland","HawaiiIsland_01","Scaptomyza adunca",20
"HawaiiIsland","HawaiiIsland_01","Syrphophagus aphidivorus",1
"HawaiiIsland","HawaiiIsland_01","Tegonotus hibiscella",1
"HawaiiIsland","HawaiiIsland_01","Trigonidium kona",16
"HawaiiIsland","HawaiiIsland_01","Tympanococcus tympanistus",1
"HawaiiIsland","HawaiiIsland_01","Xyleborus vulcanus",1
"Kauai","Kauai_01","Aedes nocturnus",1
"Kauai","Kauai_01","Agrotis chersotoides",15
"Kauai","Kauai_01","Agrotis xiphias",23
"Kauai","Kauai_01","Aleurothrixus floccosus",3
"Kauai","Kauai_01","Bembidion munroi brevicolle",8
"Kauai","Kauai_01","Brontolaemus nudicornis",5
"Kauai","Kauai_01","Campsicnemus penicillatus",7
"Kauai","Kauai_01","Cardiocondyla venustula",12
"Kauai","Kauai_01","Cardiocondyla wroughtonii",19
"Kauai","Kauai_01","Carposina olivaceonitens",13
"Kauai","Kauai_01","Carposina viridis",6
"Kauai","Kauai_01","Carulaspis giffardi",4
"Kauai","Kauai_01","Cheyletus eruditus",23
"Kauai","Kauai_01","Chrysomphalus dictyospermi",3
"Kauai","Kauai_01","Chrysoperla comanche",5
"Kauai","Kauai_01","Cligenes marianensis",15
"Kauai","Kauai_01","Clunio vagans",14
"Kauai","Kauai_01","Coccygomimus punicipes",2
"Kauai","Kauai_01","Conioscinella formosa",1
"Kauai","Kauai_01","Contarinia sorghicola",4
"Kauai","Kauai_01","Cryptophlebia ombrodelta",5
"Kauai","Kauai_01","Dacnitus currax",14
"Kauai","Kauai_01","Decadarchis penicillata",6
"Kauai","Kauai_01","Dialeurodes kirkaldyi",8
"Kauai","Kauai_01","Diplonevra peregrina",19
"Kauai","Kauai_01","Disenochus erythropus",15
"Kauai","Kauai_01","Drosophila humeralis",18
"Kauai","Kauai_01","Drosophila ornata",5
"Kauai","Kauai_01","Drosophila papaalai",12
"Kauai","Kauai_01","Dyscritomyia fulgens",4
"Kauai","Kauai_01","Entomobrya griseoolivata",22
"Kauai","Kauai_01","Epiphyas postvittana",13
"Kauai","Kauai_01","Evaza javanensis",7
"Kauai","Kauai_01","Friesea oleia",11
"Kauai","Kauai_01","Hawaiodillo sharpi",11
"Kauai","Kauai_01","Hemiberlesia rapax",8
"Kauai","Kauai_01","Heterocrossa plumbeonitida",33
"Kauai","Kauai_01","Holcobius frater",4
"Kauai","Kauai_01","Holcobius insignigis",1
"Kauai","Kauai_01","Holcobius insignis",17
"Kauai","Kauai_01","Hypocala deflorata",4
"Kauai","Kauai_01","Hyposmocoma centralis",11
"Kauai","Kauai_01","Hyposmocoma divisa",4
"Kauai","Kauai_01","Hyposmocoma palmivora",12
"Kauai","Kauai_01","Hyposmocoma petroptilota",7
"Kauai","Kauai_01","Hyposmocoma sordidella",7
"Kauai","Kauai_01","Laupala kanaele",10
"Kauai","Kauai_01","Laupala wailua",9
"Kauai","Kauai_01","Lycaena boetica",15
"Kauai","Kauai_01","Mesothriscus optimus",3
"Kauai","Kauai_01","Mesovelia mulsanti",11
"Kauai","Kauai_01","Nabis blackburni",18
"Kauai","Kauai_01","Nabis lolupe",10
"Kauai","Kauai_01","Necrobia ruficollis",8
"Kauai","Kauai_01","Neelus minutus",7
"Kauai","Kauai_01","Nesiomiris seminotatus",19
"Kauai","Kauai_01","Nesodynerus sandwichensis",6
"Kauai","Kauai_01","Nipponorthezia guadalcanalia",8
"Kauai","Kauai_01","Oceanides humeralis",3
"Kauai","Kauai_01","Oliarus kauaiensis",8
"Kauai","Kauai_01","Oligota kauaiensis",18
"Kauai","Kauai_01","Oligotoma saundersii",8
"Kauai","Kauai_01","Onychiurus folsomi",12
"Kauai","Kauai_01","Orthellia caesarion",14
"Kauai","Kauai_01","Oxytelus advena",6
"Kauai","Kauai_01","Paralabella curvicauda",3
"Kauai","Kauai_01","Pararrhaptica dermatopa",15
"Kauai","Kauai_01","Peridroma coniotis",3
"Kauai","Kauai_01","Phidippus audax",29
"Kauai","Kauai_01","Plagithmysus sugawai",8
"Kauai","Kauai_01","Polypedilum nubiferum",19
"Kauai","Kauai_01","Proterhinus setiger",15
"Kauai","Kauai_01","Psammoechus insularis",12
"Kauai","Kauai_01","Pseudopterocheilus relictus",8
"Kauai","Kauai_01","Pseudosinella kalalauensis",2
"Kauai","Kauai_01","Quadristruma emmae",10
"Kauai","Kauai_01","Scaptomyza hardyi",8
"Kauai","Kauai_01","Scholastes bimaculatus",5
"Kauai","Kauai_01","Schrankia altivolans",7
"Kauai","Kauai_01","Schrankia simplex",5
"Kauai","Kauai_01","Schrankia simplllex",1
"Kauai","Kauai_01","Scotorythra arboricolans",10
"Kauai","Kauai_01","Spolas delicata",2
"Kauai","Kauai_01","Syntormon distortitarsis",12
"Kauai","Kauai_01","Tempyra biguttula",17
"Kauai","Kauai_01","Tenuipalpus pacificus",15
"Kauai","Kauai_01","Thrips hawaiiensis",8
"Kauai","Kauai_01","Thyrocopa brevipalpis",5
"Kauai","Kauai_01","Thyrocopa usitata",9
"Kauai","Kauai_01","Tinostoma smaragditis",15
"Kauai","Kauai_01","Trigonidium flectens",23
"Kauai","Kauai_01","Trigonidium flelectens",1
"Kauai","Kauai_01","Trigonidium novena",10
