"GenSp","mass_mg"
"Nesophrosyne umbratilis",15.7032531199266
"Nesophrosyne umbratilis",29.6891206151079
"Nesophrosyne umbratilis",25.4403000211528
"Entomobrya sauteri",33.519310815511
"Trigonidium virens",33.0049937731046
"Oodemas longicorne",14.4305148349374
"Oodemas longicorne",24.6327794243464
"Spherillo albospinosus",39.3855745510767
"Hyposmocoma bacillella",34.7189870030791
"Hyposmocoma bacillella",11.2724906692226
"Hydroptila arctia",33.8546036254228
"Hydroptila arctia",56.5967296767358
"Hydroptila arctia",40.692980259573
"Blackburnia lata",29.8455042924585
"Blackburnia lata",43.5948579315129
"Protalebrella brasiliensis",13.5114730541696
"Pieris rapae",37.9891674230139
"Pseudopachybrachius vinctus",11.1051018158846
"Pseudopachybrachius vinctus",25.0478207845127
"Pseudopachybrachius vinctus",52.7277618504638
"Pseudopachybrachius vinctus",38.1721388963673
"Opalimosina mirabilis",20.1594271144644
"Opalimosina mirabilis",23.0414634227145
"Opalimosina mirabilis",12.4904635977604
"Opalimosina mirabilis",45.1071628126732
"Opalimosina mirabilis",14.1707423809921
"Hyposmocoma rubescens",37.4942536795841
"Drosophila sejuncta",36.9368936408636
"Drosophila sejuncta",9.94019546747047
"Drosophila sejuncta",35.2993012757391
"Palistreptus lobatus",37.7808307395013
"Musca sorbens",72.5515706948814
"Musca sorbens",31.0054340151298
"Aeletes minor",31.5980027042514
"Aeletes minor",25.0134083986914
"Aeletes minor",39.0445121135287
"Aeletes minor",23.636786458162
"Aeletes minor",63.4604540046453
"Aeletes minor",29.6951759595096
"Aeletes minor",40.4492419086592
"Mantua fulvosericea",6.34312673389952
"Cis cognatissimus",16.438796789678
"Cis cognatissimus",12.384466956325
"Hypocala deflorata",36.0450896087764
"Hypocala deflorata",31.8838599387333
"Hypocala deflorata",16.6001331642041
"Gymnodia arcuata",19.6581147933904
"Carpophilus dimidiatus",41.5129805600342
"Carpophilus dimidiatus",22.1555622538889
"Bembidion munroi brevicolle",75.6195104786978
"Tetragnatha uncifera",22.6276783576815
"Thyrocopa viduella",37.104978595262
"Thyrocopa viduella",34.8035911331166
"Thyrocopa viduella",35.9235062948596
"Thyrocopa viduella",20.8836585403076
"Proterhinus binotatus",54.2815035455398
"Proterhinus binotatus",25.1803334416185
"Proterhinus binotatus",13.6744902871465
"Hemiteles tenellus",8.65385375166751
"Hemiteles tenellus",54.4450230492335
"Hemiteles tenellus",31.4407980870132
"Hemiteles tenellus",60.0173262850268
"Trigonidium paranoe",14.3056938804862
"Trigonidium paranoe",53.1555082890836
"Trigonidium paranoe",28.6584715106197
"Trigonidium paranoe",38.384868612371
"Trigonidium paranoe",19.6124976719839
"Trigonidium paranoe",25.1292291963113
"Trigonidium paranoe",50.456345865222
"Trigonidium paranoe",11.93214450095
"Coccidoxenoides peregrina",13.5386690162759
"Coccidoxenoides peregrina",19.8514664253015
"Acanthia exulans",43.8537409912624
"Acanthia exulans",14.5948437846302
"Trissodoris honorariella",23.5729052439521
"Trissodoris honorariella",23.1783990754443
"Trissodoris honorariella",39.6816859454861
"Ligia perkinsi",14.7792639504357
"Ligia perkinsi",15.2009539445063
"Ligia perkinsi",51.7486802320931
"Myllaena rufescens",19.7679400409367
"Myllaena rufescens",48.7425727760518
"Hyposmocoma tarsimaculata",40.4678933324653
"Prognathogryllus pararobustus",9.64263606369007
"Prognathogryllus pararobustus",31.0456605266902
"Prognathogryllus pararobustus",20.6530327052869
"Nesiomiris fasciatus",15.5533345372964
"Nesiomiris fasciatus",37.6741662084259
"Nesiomiris fasciatus",47.4893976676773
"Sarcophaga ruficornis",7.5295865254656
"Sarcophaga ruficornis",41.3818142429949
"Sarcophaga ruficornis",11.9003915354296
"Sarcophaga gressitti",35.5380915888301
"Hyposmocoma brevistrigata",23.9885447841169
"Oodemas leiothorax",39.009297707084
"Oodemas leiothorax",8.98806925104573
"Oodemas leiothorax",4.42725606888914
"Leptocera abdominiseta",37.43572905146
"Leptocera abdominiseta",36.6007494483793
"Leptocera abdominiseta",34.9515766758263
"Leptocera abdominiseta",12.9679343076911
"Tachypompilus analis",29.0191911280189
"Tachypompilus analis",28.803371920745
"Stator pruininus",8.5022607584008
"Stator pruininus",25.5605572046119
"Stator pruininus",26.3833599284279
"Apterocyclus honoluluensis",19.385409299056
"Apterocyclus honoluluensis",25.7209347287241
"Apterocyclus honoluluensis",33.73403508678
"Apterocyclus honoluluensis",18.500254241685
"Oodemas pulchrum",43.4881225689477
"Gaurax bicoloripes",20.9163526065458
"Deilephila nerii",33.3690206124006
"Camponotus variegatus",20.9768377513607
"Camponotus variegatus",6.26402916102487
"Oodemas graciliforme",47.6825474170856
"Echthromorpha agrestoria fuscator",39.2836064399476
"Omiodes accepta",25.7726176116216
"Omiodes accepta",54.6332024727749
"Euchromius ocelleus",1.12006656885196
"Euchromius ocelleus",16.1587137590683
"Euchromius ocelleus",21.6244558167679
"Saissetia hemisphaerica",44.0404138475939
"Saissetia hemisphaerica",51.5299627597286
"Tempyra biguttula",8.50978103057513
"Tempyra biguttula",29.3677100529507
"Tempyra biguttula",28.2388948870774
"Sarcophaga dux",29.0832345704254
"Xyleborus rugatus",17.3274145604157
"Xyleborus rugatus",9.94812980707334
"Xyleborus rugatus",27.6584672696304
"Spheterista infaustana",18.6546638822835
"Polypedilum nubiferum",30.4505079023
"Polypedilum nubiferum",14.0977321047858
"Polypedilum nubiferum",30.1733416325433
"Xyleborus kauaiensis",18.2630899865745
"Genaparlatoria pseudaspidiotus",16.4873930471716
"Muscina stabulans",32.2924667667443
"Aphis craccivora",66.8344492236786
"Metromenus pavidus",13.7457226473903
"Dichromothrips corbetti",21.6589570817678
"Ochetellus glaber",18.455607519874
"Ochetellus glaber",12.1634054481184
"Ochetellus glaber",55.5823170386322
"Cirphis amblycasis",39.9595434199525
"Cirphis amblycasis",26.1514813720251
"Cryptotermes brevis",5.24158635059951
"Ferrisia virgata",15.3657812373897
"Ferrisia virgata",23.4308111232841
"Diestota parva",29.785668110882
"Diestota parva",10.9199727347033
"Spodoptera mauritia acronyctoides",19.8412567406792
"Spodoptera mauritia acronyctoides",36.4282365817502
"Cryptoblabes gnidiella",24.4360107510937
"Cryptoblabes gnidiella",35.9135710878545
"Cryptoblabes gnidiella",33.4896894140809
"Holcobius diversus",17.3548512479956
"Holcobius diversus",5.19131225442903
"Cardiocondyla nuda",23.3054798355076
"Platyptilia littoralis",24.9950077559304
"Sarona saltator",20.291234494694
"Hylaeus laetus",30.3942047283587
"Hylaeus laetus",60.8140098778389
"Hylaeus laetus",14.7540103936094
"Platynus ambiens",42.2283912321604
"Platynus ambiens",27.4534405189225
"Platynus ambiens",18.9618567235082
"Anthonomus eugenii",27.4040242607751
"Anthonomus eugenii",27.7998078827348
"Anthonomus eugenii",16.2248684650533
"Parandra puncticeps",70.9440450506756
"Parandra puncticeps",9.27897601673621
"Ornithoica vicina",30.5295003845973
"Ornithoica vicina",21.6126403508583
"Hyposmocoma quadripunctata",44.7106493069741
"Hyposmocoma quadripunctata",27.1645966481143
"Thaneroclerus buqueti",27.3008275349316
"Thaneroclerus buqueti",16.9636206174396
"Hypoponera punctatissima",21.674174964067
"Hypoponera punctatissima",9.88173592083363
"Pararrhaptica chlorippa",43.4413715735712
"Deinomimesa cognata",36.2062438977547
"Deinomimesa cognata",13.9326375247552
"Deinomimesa cognata",17.2856631857566
"Deinomimesa cognata",8.37763536602296
"Deinomimesa cognata",41.3936557662591
"Bradleyella thoracina",70.4316523733414
"Platyptilia fuscicornis",51.7768706459846
"Platyptilia fuscicornis",38.0796593003539
"Platyptilia fuscicornis",27.98928176593
"Platyptilia fuscicornis",16.2163468162858
"Oodemas purpurascens",9.56838297821321
"Oodemas purpurascens",24.4770687053905
"Scotorythra euryphaea",20.7460860564173
"Scotorythra euryphaea",23.9089593165039
"Scotorythra euryphaea",63.3269178714281
"Scotorythra euryphaea",52.8452539532479
"Scotorythra euryphaea",16.4803094179879
"Scotorythra euryphaea",19.5452909380886
"Scotorythra euryphaea",41.9813938429033
"Hyposmocoma subaurata",23.3888080332064
"Enicospilus orbitalis",27.9275493426743
"Enicospilus orbitalis",28.0755871172229
"Enicospilus orbitalis",19.8396342500433
"Enicospilus orbitalis",28.6297111806742
"Crocidosema plebejana",15.5579680811628
"Crocidosema plebejana",6.46477802735263
"Crocidosema plebejana",29.7844994843512
"Crocidosema plebejana",51.395402786661
"Crocidosema plebejana",14.4816874488389
"Tetragnatha pilosa",14.1534368509354
"Argocerus similaris",18.3545684526971
"Argocerus similaris",23.9536237635787
"Gnatholymnaeum blackburni",80.9083743303012
"Gnatholymnaeum blackburni",11.6003402740499
"Gnatholymnaeum blackburni",7.66689825847482
"Prognathogryllus giganteus",16.3728193692152
"Prognathogryllus giganteus",46.9735692711913
"Prognathogryllus giganteus",41.0361307318841
"Prognathogryllus giganteus",44.8115764920138
"Prognathogryllus giganteus",31.106752559571
"Callithmysus microgaster",17.7435396248399
"Euodynerus radula",27.4714922387974
"Euodynerus radula",45.5825495670263
"Euodynerus radula",32.6486773869989
"Euodynerus radula",11.4523348086322
"Trupanea perkinsi",35.8080157388374
"Trupanea perkinsi",13.6615150371537
"Folsomia octoculata",33.7408195972162
"Folsomia octoculata",29.0849109653649
"Folsomia octoculata",68.2530585208847
"Folsomia octoculata",50.2283598878141
"Contarinia maculipennis",18.6599607516294
"Copromyza equina",14.4893974501854
"Copromyza equina",49.8226850870126
"Copromyza equina",38.8944437302244
"Copromyza equina",32.3877601508381
"Copromyza equina",31.4221401738521
"Isotomiella minor",47.0538426188068
"Isotomiella minor",39.6648843546835
"Limnoxenus namolokama",16.1388400874992
"Limnoxenus namolokama",38.8838655580403
"Eudonia tyraula",8.41029891357043
"Megastylus flavopictus",10.3143112721834
"Megastylus flavopictus",15.5097099183963
"Megastylus flavopictus",7.14210595439821
"Leptogryllus kauaiensis",44.630275394233
"Nesogonia blackburni",39.3704642165615
"Nesogonia blackburni",17.0776132496887
"Tribolium castaneum",44.4375870551714
"Oliarus halemanu",39.7180948771175
"Oliarus halemanu",22.1393406966312
"Oliarus halemanu",27.305343298355
"Oliarus halemanu",21.835160551306
"Acrolepiopsis sapporensis",14.5529689433578
"Lepidopsocus fasciatus",30.0639462877662
"Lepidopsocus fasciatus",27.8168491080195
"Brachycaudus helichrysi",38.2136268601451
"Drosophila anomalipes",42.1354159393503
