"island","site","GenSp"
"kauai","kauai_01","Nesophrosyne umbratilis"
"kauai","kauai_01","Nesophrosyne umbratilis"
"kauai","kauai_01","Nesophrosyne umbratilis"
"kauai","kauai_01","Entomobrya sauteri"
"kauai","kauai_01","Trigonidium virens"
"kauai","kauai_01","Oodemas longicorne"
"kauai","kauai_01","Oodemas longicorne"
"kauai","kauai_01","Spherillo albospinosus"
"kauai","kauai_01","Hyposmocoma bacillella"
"kauai","kauai_01","Hyposmocoma bacillella"
"kauai","kauai_01","Hydroptila arctia"
"kauai","kauai_01","Hydroptila arctia"
"kauai","kauai_01","Hydroptila arctia"
"kauai","kauai_01","Blackburnia lata"
"kauai","kauai_01","Blackburnia lata"
"kauai","kauai_01","Protalebrella brasiliensis"
"kauai","kauai_01","Pieris rapae"
"kauai","kauai_01","Pseudopachybrachius vinctus"
"kauai","kauai_01","Pseudopachybrachius vinctus"
"kauai","kauai_01","Pseudopachybrachius vinctus"
"kauai","kauai_01","Pseudopachybrachius vinctus"
"kauai","kauai_01","Opalimosina mirabilis"
"kauai","kauai_01","Opalimosina mirabilis"
"kauai","kauai_01","Opalimosina mirabilis"
"kauai","kauai_01","Opalimosina mirabilis"
"kauai","kauai_01","Opalimosina mirabilis"
"kauai","kauai_01","Hyposmocoma rubescens"
"kauai","kauai_01","Drosophila sejuncta"
"kauai","kauai_01","Drosophila sejuncta"
"kauai","kauai_01","Drosophila sejuncta"
"kauai","kauai_01","Palistreptus lobatus"
"kauai","kauai_01","Musca sorbens"
"kauai","kauai_01","Musca sorbens"
"kauai","kauai_01","Aeletes minor"
"kauai","kauai_01","Aeletes minor"
"kauai","kauai_01","Aeletes minor"
"kauai","kauai_01","Aeletes minor"
"kauai","kauai_01","Aeletes minor"
"kauai","kauai_01","Aeletes minor"
"kauai","kauai_01","Aeletes minor"
"kauai","kauai_01","Mantua fulvosericea"
"kauai","kauai_01","Cis cognatissimus"
"kauai","kauai_01","Cis cognatissimus"
"kauai","kauai_01","Hypocala deflorata"
"kauai","kauai_01","Hypocala deflorata"
"kauai","kauai_01","Hypocala deflorata"
"kauai","kauai_01","Gymnodia arcuata"
"kauai","kauai_01","Carpophilus dimidiatus"
"kauai","kauai_01","Carpophilus dimidiatus"
"kauai","kauai_01","Bembidion munroi brevicolle"
"kauai","kauai_01","Tetragnatha uncifera"
"kauai","kauai_01","Thyrocopa viduella"
"kauai","kauai_01","Thyrocopa viduella"
"kauai","kauai_01","Thyrocopa viduella"
"kauai","kauai_01","Thyrocopa viduella"
"kauai","kauai_01","Proterhinus binotatus"
"kauai","kauai_01","Proterhinus binotatus"
"kauai","kauai_01","Proterhinus binotatus"
"kauai","kauai_01","Hemiteles tenellus"
"kauai","kauai_01","Hemiteles tenellus"
"kauai","kauai_01","Hemiteles tenellus"
"kauai","kauai_01","Hemiteles tenellus"
"kauai","kauai_01","Trigonidium paranoe"
"kauai","kauai_01","Trigonidium paranoe"
"kauai","kauai_01","Trigonidium paranoe"
"kauai","kauai_01","Trigonidium paranoe"
"kauai","kauai_01","Trigonidium paranoe"
"kauai","kauai_01","Trigonidium paranoe"
"kauai","kauai_01","Trigonidium paranoe"
"kauai","kauai_01","Trigonidium paranoe"
"kauai","kauai_01","Coccidoxenoides peregrina"
"kauai","kauai_01","Coccidoxenoides peregrina"
"kauai","kauai_01","Acanthia exulans"
"kauai","kauai_01","Acanthia exulans"
"kauai","kauai_01","Trissodoris honorariella"
"kauai","kauai_01","Trissodoris honorariella"
"kauai","kauai_01","Trissodoris honorariella"
"kauai","kauai_01","Ligia perkinsi"
"kauai","kauai_01","Ligia perkinsi"
"kauai","kauai_01","Ligia perkinsi"
"kauai","kauai_01","Myllaena rufescens"
"kauai","kauai_01","Myllaena rufescens"
"kauai","kauai_01","Hyposmocoma tarsimaculata"
"kauai","kauai_01","Prognathogryllus pararobustus"
"kauai","kauai_01","Prognathogryllus pararobustus"
"kauai","kauai_01","Prognathogryllus pararobustus"
"kauai","kauai_01","Nesiomiris fasciatus"
"kauai","kauai_01","Nesiomiris fasciatus"
"kauai","kauai_01","Nesiomiris fasciatus"
"kauai","kauai_01","Sarcophaga ruficornis"
"kauai","kauai_01","Sarcophaga ruficornis"
"kauai","kauai_01","Sarcophaga ruficornis"
"kauai","kauai_01","Sarcophaga gressitti"
"kauai","kauai_01","Oodemas leiothoraxx"
"kauai","kauai_01","Oodemas leiothoraxx"
"kauai","kauai_01","Oodemas leiothoraxx"
"kauai","kauai_01","Leptocera abdominiseta"
"kauai","kauai_01","Leptocera abdominiseta"
"kauai","kauai_01","Leptocera abdominiseta"
"kauai","kauai_01","Leptocera abdominiseta"
"kauai","kauai_01","Tachypompilus analis"
"kauai","kauai_01","Tachypompilus analis"
"kauai","kauai_01","Stator pruininus"
"kauai","kauai_01","Stator pruininus"
"kauai","kauai_01","Stator pruininus"
"kauai","kauai_01","Apterocyclus honoluluensis"
"kauai","kauai_01","Apterocyclus honoluluensis"
"kauai","kauai_01","Apterocyclus honoluluensis"
"kauai","kauai_01","Apterocyclus honoluluensis"
"kauai","kauai_01","Oodemas pulchrum"
"kauai","kauai_01","Gaurax bicoloripes"
"kauai","kauai_01","Deilephila nerii"
"kauai","kauai_01","Camponotus variegatus"
"kauai","kauai_01","Camponotus variegatus"
"kauai","kauai_01","Oodemas graciliforme"
"kauai","kauai_01","Echthromorpha agrestoria fuscator"
"kauai","kauai_01","Omiodes accepta"
"kauai","kauai_01","Omiodes accepta"
"kauai","kauai_01","Euchromius ocelleus"
"kauai","kauai_01","Euchromius ocelleus"
"kauai","kauai_01","Euchromius ocelleus"
"kauai","kauai_01","Saissetia hemisphaerica"
"kauai","kauai_01","Saissetia hemisphaerica"
"kauai","kauai_01","Tempyra biguttula"
"kauai","kauai_01","Tempyra biguttula"
"kauai","kauai_01","Tempyra biguttula"
"kauai","kauai_01","Sarcophaga dux"
"kauai","kauai_01","Xyleborus rugatus"
"kauai","kauai_01","Xyleborus rugatus"
"kauai","kauai_01","Xyleborus rugatus"
"kauai","kauai_01","Spheterista infaustana"
"kauai","kauai_01","Polypedilum nubiferum"
"kauai","kauai_01","Polypedilum nubiferum"
"kauai","kauai_01","Polypedilum nubiferum"
"kauai","kauai_01","Xyleborus kauaiensis"
"kauai","kauai_01","Genaparlatoria pseudaspidiotus"
"kauai","kauai_01","Muscina stabulans"
"kauai","kauai_01","Aphis craccivora"
"kauai","kauai_01","Metromenus pavidus"
"kauai","kauai_01","Dichromothrips corbetti"
"kauai","kauai_01","Ochetellus glaber"
"kauai","kauai_01","Ochetellus glaber"
"kauai","kauai_01","Ochetellus glaber"
"kauai","kauai_01","Cirphis amblycasis"
"kauai","kauai_01","Cirphis amblycasis"
"kauai","kauai_01","Cryptotermes brevis"
"kauai","kauai_01","Ferrisia virgata"
"kauai","kauai_01","Ferrisia virgata"
"kauai","kauai_01","Diestota parva"
"kauai","kauai_01","Diestota parva"
"kauai","kauai_01","Spodoptera mauritia acronyctoides"
"kauai","kauai_01","Spodoptera mauritia acronyctoides"
"kauai","kauai_01","Cryptoblabes gnidiella"
"kauai","kauai_01","Cryptoblabes gnidiella"
"kauai","kauai_01","Cryptoblabes gnidiella"
"kauai","kauai_01","Holcobius diversus"
"kauai","kauai_01","Holcobius diversus"
"kauai","kauai_01","Cardiocondyla nuda"
"kauai","kauai_01","Platyptilia littoralis"
"kauai","kauai_01","Sarona saltator"
"kauai","kauai_01","Hylaeus laetus"
"kauai","kauai_01","Hylaeus laetus"
"kauai","kauai_01","Hylaeus laetus"
"kauai","kauai_01","Platynus ambiens"
"kauai","kauai_01","Platynus ambiens"
"kauai","kauai_01","Platynus ambiens"
"kauai","kauai_01","Anthonomus eugenii"
"kauai","kauai_01","Anthonomus eugenii"
"kauai","kauai_01","Anthonomus eugenii"
"kauai","kauai_01","Parandra puncticeps"
"kauai","kauai_01","Parandra puncticeps"
"kauai","kauai_01","Ornithoica vicina"
"kauai","kauai_01","Ornithoica vicina"
"kauai","kauai_01","Hyposmocoma quadripunctata"
"kauai","kauai_01","Hyposmocoma quadripunctata"
"kauai","kauai_01","Thaneroclerus buqueti"
"kauai","kauai_01","Thaneroclerus buqueti"
"kauai","kauai_01","Hypoponera punctatissima"
"kauai","kauai_01","Hypoponera punctatissima"
"kauai","kauai_01","Pararrhaptica chlorippa"
"kauai","kauai_01","Deinomimesa cognata"
"kauai","kauai_01","Deinomimesa cognata"
"kauai","kauai_01","Deinomimesa cognata"
"kauai","kauai_01","Deinomimesa cognata"
"kauai","kauai_01","Deinomimesa cognata"
"kauai","kauai_01","Bradleyella thoracina"
"kauai","kauai_01","Platyptilia fuscicornis"
"kauai","kauai_01","Platyptilia fuscicornis"
"kauai","kauai_01","Platyptilia fuscicornis"
"kauai","kauai_01","Platyptilia fuscicornis"
"kauai","kauai_01","Oodemas purpurascens"
"kauai","kauai_01","Oodemas purpurascens"
"kauai","kauai_01","Scotorythra euryphaea"
"kauai","kauai_01","Scotorythra euryphaea"
"kauai","kauai_01","Scotorythra euryphaea"
"kauai","kauai_01","Scotorythra euryphaea"
"kauai","kauai_01","Scotorythra euryphaea"
"kauai","kauai_01","Scotorythra euryphaea"
"kauai","kauai_01","Scotorythra euryphaea"
"kauai","kauai_01","Hyposmocoma subaurata"
"kauai","kauai_01","Enicospilus orbitalis"
"kauai","kauai_01","Enicospilus orbitalis"
"kauai","kauai_01","Enicospilus orbitalis"
"kauai","kauai_01","Enicospilus orbitalis"
"kauai","kauai_01","Crocidosema plebejana"
"kauai","kauai_01","Crocidosema plebejana"
"kauai","kauai_01","Crocidosema plebejana"
"kauai","kauai_01","Crocidosema plebejana"
"kauai","kauai_01","Crocidosema plebejana"
"kauai","kauai_01","Tetragnatha pilosa"
"kauai","kauai_01","Argocerus similaris"
"kauai","kauai_01","Argocerus similaris"
"kauai","kauai_01","Gnatholymnaeum blackburni"
"kauai","kauai_01","Gnatholymnaeum blackburni"
"kauai","kauai_01","Gnatholymnaeum blackburni"
"kauai","kauai_01","Prognathogryllus giganteus"
"kauai","kauai_01","Prognathogryllus giganteus"
"kauai","kauai_01","Prognathogryllus giganteus"
"kauai","kauai_01","Prognathogryllus giganteus"
"kauai","kauai_01","Prognathogryllus giganteus"
"kauai","kauai_01","Callithmysus microgaster"
"kauai","kauai_01","Euodynerus radula"
"kauai","kauai_01","Euodynerus radula"
"kauai","kauai_01","Euodynerus radula"
"kauai","kauai_01","Euodynerus radula"
"kauai","kauai_01","Trupanea perkinsi"
"kauai","kauai_01","Trupanea perkinsi"
"kauai","kauai_01","Folsomia octoculata"
"kauai","kauai_01","Folsomia octoculata"
"kauai","kauai_01","Folsomia octoculata"
"kauai","kauai_01","Folsomia octoculata"
"kauai","kauai_01","Contarinia maculipennis"
"kauai","kauai_01","Copromyza equina"
"kauai","kauai_01","Copromyza equina"
"kauai","kauai_01","Copromyza equina"
"kauai","kauai_01","Copromyza equina"
"kauai","kauai_01","Copromyza equina"
"kauai","kauai_01","Isotomiella minor"
"kauai","kauai_01","Isotomiella minor"
"kauai","kauai_01","Limnoxenus namolokama"
"kauai","kauai_01","Limnoxenus namolokama"
"kauai","kauai_01","Eudonia tyraula"
"kauai","kauai_01","Megastylus flavopictus"
"kauai","kauai_01","Megastylus flavopictus"
"kauai","kauai_01","Megastylus flavopictus"
"kauai","kauai_01","Leptogryllus kauaiensis"
"kauai","kauai_01","Nesogonia blackburni"
"kauai","kauai_01","Nesogonia blackburni"
"kauai","kauai_01","Tribolium castaneum"
"kauai","kauai_01","Oliarus halemanu"
"kauai","kauai_01","Oliarus halemanu"
"kauai","kauai_01","Oliarus halemanu"
"kauai","kauai_01","Oliarus halemanu"
"kauai","kauai_01","Acrolepiopsis sapporensis"
"kauai","kauai_01","Lepidopsocus fasciatus"
"kauai","kauai_01","Lepidopsocus fasciatus"
"kauai","kauai_01","Brachycaudus helichrysi"
"kauai","kauai_01","Drosophila anomalipes"
"kauai","kauai_01","Drosophila anomalipes"
"kauai","kauai_01","Odynerus soror"
"kauai","kauai_01","Odynerus soror"
"kauai","kauai_01","Odynerus soror"
"kauai","kauai_01","Coenosia longipes"
"kauai","kauai_01","Coenosia longipes"
"kauai","kauai_01","Coenosia longipes"
"kauai","kauai_01","Scoparia rhombias"
"kauai","kauai_01","Scoparia rhombias"
"kauai","kauai_01","Blackburnia pauma"
"kauai","kauai_01","Blackburnia pauma"
"kauai","kauai_01","Blackburnia pauma"
"kauai","kauai_01","Blackburnia pauma"
"kauai","kauai_01","Blackburnia pauma"
"kauai","kauai_01","Blackburnia pauma"
"kauai","kauai_01","Blackburnia pauma"
"kauai","kauai_01","Blackburnia pauma"
"kauai","kauai_01","Pagiopalus personatus"
"kauai","kauai_01","Pagiopalus personatus"
"kauai","kauai_01","Pagiopalus personatus"
"kauai","kauai_01","Psammochares luctuosus"
"kauai","kauai_01","Blackburnia erythropus"
"kauai","kauai_01","Blackburnia erythropus"
"kauai","kauai_01","Blackburnia erythropus"
"kauai","kauai_01","Forcipomyia brevis"
"kauai","kauai_01","Forcipomyia brevis"
"kauai","kauai_01","Forcipomyia brevis"
"kauai","kauai_01","Forcipomyia brevis"
"kauai","kauai_01","Solierella peckhami"
"kauai","kauai_01","Solierella peckhami"
"kauai","kauai_01","Ethmia nigroapicella"
"kauai","kauai_01","Ethmia nigroapicella"
"kauai","kauai_01","Ethmia nigroapicella"
"kauai","kauai_01","Antrocephalus pertooorvus"
"kauai","kauai_01","Antrocephalus pertooorvus"
"kauai","kauai_01","Antrocephalus pertooorvus"
"kauai","kauai_01","Antrocephalus pertooorvus"
"kauai","kauai_01","Antrocephalus pertooorvus"
"kauai","kauai_01","Antrocephalus pertooorvus"
"kauai","kauai_01","Nesothoe pluvialis"
"kauai","kauai_01","Nesothoe pluvialis"
