"GenSp"
"Scatella bryani"
"Necrobia ruficollis"
"Nesophrosyne umbratilis"
"Pandesma anysa"
"Blepyrus insularis"
"Nesophryne kukanaroa"
"Anthomyia vicarians"
"Pseudocymus hawaiiensis"
"Columbicola columbae"
"Banza affinis"
"Selenophorus striatopunctatus"
"Eudonia siderina"
"Philodoria hibiscella"
"Psychoda hardyi"
"Hyposmocoma fractivittella"
"Brevicoryne brassicae"
"Entomobrya sauteri"
"Reduviolus tarai"
"Plagithmysus polystictus"
"Prognathogryllus inexpectatus"
"Laupala kokeensis"
"Trigonidium virens"
"Oodemas longicorne"
"Unadilla bidensana"
"Ctenosciara hawaiiensis"
"Spherillo albospinosus"
"Nesobiella hospes"
"Nesodynerus xanthorhoes"
"Hyposmocoma scandens"
"Xenopsylla cheopis"
"Tapinoma melanocephalum"
"Hyposmocoma bacillella"
"Acalles pallidicollis"
"Latrodectus mactans"
"Anomalochrysa rufescens"
"Eudonia zophochlora"
"Aedes aegypti"
"Hydroptila arctia"
"Apanteles carpatus"
"Blackburnia lata"
"Atheta coriaria"
"Protalebrella brasiliensis"
"Culex quinquefasciatus"
"Pieris rapae"
"Megachile diligens"
"Dioxyna sororcula"
"Pseudopachybrachius vinctus"
"Opalimosina mirabilis"
"Ptycta diastema"
"Hyposmocoma rubescens"
"Geocoris punctipes"
"Xyletobius brunneri"
"Drosophila sejuncta"
"Odynerus xanthorhoes"
"Odynerus sandwichensis"
"Palistreptus lobatus"
"Orthezia insignis"
"Plastosciara longicosta"
"Hyposmocoma chloraula"
"Musca sorbens"
"Dryotribus mimeticus"
"Rhyncogonus haupu"
"Agonoxena argaula"
"Aeletes minor"
"Neosciara molokaiensis"
"Acalles leptothorax"
"Stenomicra fascipennis"
"Megalagrion vagabundum"
"Euxesta annonae"
"Pachybrachius vinctus"
"Mantua fulvosericea"
"Eupelmus flavipes"
"Coccotrypes carpophagus"
"Plagithmysus longipes"
"Cis cognatissimus"
"Drosophila crassifemur"
"Periplaneta americana"
"Hypocala deflorata"
"Sarcophaga argyrostoma"
"Disenochus curtipes"
"Rhyncogonus depressus"
"Drosophila antecedens"
"Gymnodia arcuata"
"Engytatus modestus"
"Proterhinus scutatus"
"Trigonidium robustum"
"Stenoptilodes taprobanes brachymorpha"
"Carpophilus dimidiatus"
"Eupithecia monticolens"
"Nesodynerus homochromus"
"Carposina cervinella"
"Scotorythra crocorrhoa"
"Bembidion munroi brevicolle"
"Tetragnatha uncifera"
"Blackburnia waialeale"
"Dryophthorus kauaiensis"
"Thyrocopa viduella"
"Stethynium triclavatum"
"Leptogryllus haupu"
"Dolichopus exsul"
"Stoeberhinus testaceus"
"Proterhinus binotatus"
"Cephalops bicuspidis"
"Acizzia uncatoides"
"Hemiteles tenellus"
"Lepidocyrtus uku"
"Eopenthes funebris"
"Pseudaulacaspis pentagona"
"Oliarus tamehameha"
"Neomachilis perkinsi"
"Odontella kapii"
"Procanace nigroviridis"
"Nesodynerus vittativentris"
"Orchidophilus peregrinator"
"Trigonidium paranoe"
"Coccidoxenoides peregrina"
"Homoeosoma amphibola"
"Acanthia exulans"
"Scatella clavipes"
"Trissodoris honorariella"
"Ligia perkinsi"
"Scaptomyza striatifrons"
"Heterotoma merioptera"
"Hellula undalis"
"Tetragnatha mohihi"
"Planococcus citri"
