;species;Head_length;Head_width;Head_height;Nostril_height;Nostril_distance;Orbital_distance;Eye_height;Eye_size;Ear_Opening_Size;Rostral_Length;Jaw_Length;Quadrate.tip_Opening;Trunk_Length;Trunk_Width;Trunk_Height;Tail_Length;Tail_Heigth;Pectoral_Girdle_Width;Pelvic_Girdle_Width;Total_Forelimb_Length;Total_Hindlimb_Length;SVL;Microhabitat;Habitat_Type;Annual_Mean_Temp;Temp_Season;Annual_Precipitation;Prec_Season;Alt;HeadLc;HeadWc;HeadHc;NostrilDc;NostrilHc;OrbitalDc;EyeHc;EyeSc;EarOpeningc;RostralLc;JawLc;QuadrateTipLc;TrunkLc;TrunkWc;TrunkHc;TailLc;TailHc;PectoralGc;PelvicGc;Forelimbc;Hindlimbc;PC1;PC2
Acratosaura_mentalis;Acratosaura_mentalis;10.37;5.77;4.45;1.79;2.42;1.71;2.18;2;2.28;6.97;10.76;12.25;41.84;6.39;3.79;89.29;3.78;6.3;3.58;14.08;21.9;52.22;Ground-dwelling;Savanna;25.1;9.76;661;89;498;-0.037824568;-0.051296993;-0.079162136;0.068860093;-0.084519894;0.022613898;-0.074273122;-0.106410245;-0.034965368;-0.055389205;-0.049323192;-0.032318465;0.013222228;-0.033785038;-0.185891263;-0.05503103;-0.04469897;-0.055959203;-0.047119618;-0.04178677;-0.071834719;15.30422947;1.554127358
Alexandresaurus_camacan;Alexandresaurus_camacan;11.03;6.9;5.66;2.12;3.01;1.9;2.78;2.57;2.25;7.44;12.32;13.11;47.81;7.5;5.54;125.83;4.69;7.11;4.02;13.9;24.01;58.83;Ground-dwelling;Forest;24.2;10.88;1576;11;56;-0.059885185;-0.025476758;-0.030465124;0.118049401;-0.058791869;0.034702765;-0.025659996;-0.051693008;-0.071522946;-0.078674927;-0.041854971;-0.050456568;0.018771137;-0.012212607;-0.083559182;0.039235166;-0.008788287;-0.059471725;-0.030092941;-0.094497451;-0.074756656;11.1914304;8.150828599
Alopoglossus_angulatus;Alopoglossus_angulatus;11.31;7.75;5.66;2.36;2.69;1.5;2.45;3.24;2.81;8.31;12.5;13.39;44.1;9.58;5.99;101.34;4.75;8.42;5.06;17.87;27.78;55.41;Ground-dwelling;Forest;26.2;5.7;1915;58;113;-0.024446977;0.051032311;-0.002445695;0.092130267;0.011781342;-0.051040897;-0.051908348;0.076147606;0.040480674;-0.004704532;-0.009761933;-0.01735704;0.010011314;0.118205876;-0.018216176;-0.027273434;0.025762424;0.042131984;0.086573183;0.038291797;0.010125842;-5.823353557;2.875238646
Alopoglossus_atriventris;Alopoglossus_atriventris;10.08;6.14;4.79;1.96;2.06;1.22;1.92;3.11;2.62;7.26;11.03;11.98;33.67;6.96;4.64;65.28;3.46;6.5;3.98;15.98;24.17;43.75;Ground-dwelling;Forest;25.8;3.8;2690;21;105;0.022403109;0.052689587;0.03560776;0.066564448;0.025791899;-0.074029504;-0.044828761;0.165778102;0.071142269;0.038971357;0.037657751;0.028688142;-0.003352589;0.074578317;-0.0051522;-0.109809842;0.002665685;0.040826971;0.04835023;0.08315771;0.034653337;-12.72687427;-7.24455585
Alopoglossus_brevifrontalis;Alopoglossus_brevifrontalis;7.84;5.63;3.98;1.94;1.99;1.36;2.13;2.01;2.33;5.56;8.97;9.66;33.95;5.56;3.47;59.88;2.96;5.91;3.29;11.32;17.72;41.79;Ground-dwelling;Forest;26.2;5.7;1915;58;113;-0.067952675;0.034970316;-0.023401737;0.069071645;0.039702236;-0.013902755;0.022160096;-0.0029484;0.032043424;-0.057037126;-0.032385673;-0.046484593;0.020386719;-0.004501785;-0.107290791;-0.126266823;-0.042902423;0.02105255;-0.021524745;-0.048450994;-0.083673433;7.311523226;2.753865916
Alopoglossus_copii;Alopoglossus_copii;10.7;6.56;4.65;2.07;2.15;1.27;1.63;2.58;2.73;7.29;10.15;12.76;34.79;7.05;4.33;81.55;3.33;7.1;5.06;16.97;26.35;45.49;Ground-dwelling;Forest;24.7;4.76;3285;17;338;0.032338939;0.064457379;0.004479256;0.070226663;0.033879547;-0.067602871;-0.134586159;0.066906373;0.078923338;0.023868921;-0.015248314;0.040504488;-0.006280785;0.064455269;-0.055646515;-0.031070265;-0.032870159;0.060833688;0.141715691;0.093842951;0.058129122;-10.82506603;-5.692330704
Ameiva_ameiva;Ameiva_ameiva;32.42;17.33;16.7;4.58;3.56;3.61;8.57;7.07;6.04;25.43;34.21;35.56;83.7;19.85;24.89;244;11.87;21.08;6.58;48.3;103.21;116.12;Ground-dwelling;Terrestrial;27.1;4.99;2007;52;36;0.129615262;0.07864502;0.121320945;-0.06900264;0.00329098;0.121372912;0.138225962;0.078656415;0.181583915;0.160566796;0.108842491;0.111312055;-0.036845696;0.136709615;0.212166614;0.014684283;0.064902902;0.092805522;-0.006166787;0.177593618;0.313994678;-38.23093704;-8.510476824
Ameiva_jacuba;Ameiva_jacuba;16.45;9.06;9.51;3.53;2.39;2.99;5.17;4.47;4.37;14.19;19.36;19.89;52.26;9.91;12.1;125;6.53;11.4;3.94;27.09;48.35;68.71;Ground-dwelling;Shrubland;20.2;23.45;1243;55;642;0.050067419;0.02526264;0.122271126;-0.041464452;0.100445309;0.187766241;0.169574352;0.118103097;0.17665147;0.134490709;0.087580958;0.068569363;-0.010801887;0.04629441;0.174258708;-0.03490672;0.059704908;0.072568163;-0.082218038;0.133918252;0.173408583;-27.81261517;-2.597795856
Ameiva_parecis;Ameiva_parecis;20.25;11.41;10.78;3.83;2.94;1.92;5.91;4.82;4.41;15.96;22.48;23.32;62.1;11.32;17.45;181.96;7.83;14.09;4.91;31.52;57.33;82.35;Ground-dwelling;Shrubland;22.9;9.69;1927;71;551;0.066095954;0.046638079;0.091992294;-0.020738575;0.063313956;-0.055757551;0.141107059;0.068516233;0.133805211;0.107104329;0.074484253;0.065335754;-0.015459526;0.031157498;0.238252039;0.045028652;0.050781108;0.079428526;-0.037251378;0.128100217;0.182260292;-25.93419469;-7.334148803
Ameivula_nativo;Ameivula_nativo;13.65;7.45;6.36;2.57;1.63;1.56;3.04;3.51;3.45;10.68;14.25;15.69;33.29;5.71;8.66;129.06;4.31;8.39;4.01;21.7;39;46.94;Ground-dwelling;Shrubland;24.3;16.77;1199;52;26;0.125225348;0.10605869;0.125803886;-0.062019053;0.115270128;0.012854216;0.121100217;0.186328503;0.172469824;0.176121328;0.118587029;0.117744076;-0.039210786;-0.039731322;0.228919252;0.153892807;0.063953929;0.118583482;0.031938498;0.188215023;0.217126919;-41.0070153;-14.18131453
Ameivula_ocellifera;Ameivula_ocellifera;17.8;10.13;9.15;3.57;2.13;2.06;4.98;4.48;3.84;14.01;18.85;20.83;47.97;9.4;12.39;126.01;6.83;11.83;5.23;26.98;52.44;65.77;Ground-dwelling;Savanna;25.5;9.44;1008;93;358;0.102247889;0.092769406;0.125970515;-0.074765558;0.122860645;0.038315705;0.174218044;0.138955057;0.131804082;0.147888618;0.094820646;0.106090602;-0.028783384;0.040955986;0.207490778;-0.011336051;0.100409085;0.109210398;0.053011607;0.149441136;0.22440431;-37.02052387;-7.221334184
Anadia_bogotensis;Anadia_bogotensis;10.75;6.52;5.08;2.08;2.02;1.43;2.22;2.4;2.2;6.78;11.57;12.4;44.58;7.82;5.68;91.81;3.97;6.98;4.21;15.43;21.39;55.33;Ground-dwelling;Forest;13.4;3.46;1255;34;2639;-0.045908848;-0.023393212;-0.048722475;-0.031718324;-0.042488422;-0.071387973;-0.094030781;-0.053529299;-0.065429531;-0.092450032;-0.042716341;-0.050138848;0.015347738;0.03062885;-0.040536545;-0.069501067;-0.051440363;-0.038645326;0.007108637;-0.024895587;-0.102875927;14.226361;0.583621032
Anotosaura_vanzolinia;Anotosaura_vanzolinia;5.88;3.42;2.54;1.32;1.53;1.32;1.32;1.2;1.62;3.55;6.07;6.92;33.41;3.18;2.18;49.85;2.24;3.93;2.91;6.33;9.94;39.29;Fossorial;Savanna;23;12.85;377;80;450;-0.167604401;-0.1546745;-0.18959181;-0.021508662;-0.102809206;-0.009441932;-0.156157051;-0.198918331;-0.109853673;-0.225163664;-0.175422551;-0.166716955;0.040532672;-0.222312419;-0.276795863;-0.177564629;-0.134046029;-0.127137059;-0.057584179;-0.276504446;-0.312562637;53.18751829;6.501160379
Arthrosaura_kockii;Arthrosaura_kockii;10.25;6.78;5.31;2.25;2.27;1.49;2.33;2.61;2.71;7.42;11.17;12.36;36.14;8.31;6.15;74.25;3.77;7.47;4.5;18.18;26.73;46.38;Ground-dwelling;Forest;26.6;5.11;1808;74;237;0.005736414;0.070353622;0.053056166;0.086407196;0.062328348;-0.003693742;0.011319855;0.063118318;0.070722055;0.023152616;0.017994201;0.018933314;0.001737956;0.128065898;0.086573991;-0.080692673;0.011635384;0.073785412;0.085361537;0.116094355;0.057378203;-15.80497041;1.91068648
Arthrosaura_reticulata;Arthrosaura_reticulata;11.05;6.93;5.37;2.3;2.41;1.55;2.36;2.85;2.67;7.45;11.84;13.02;42.56;8.21;5.71;105.94;4.26;7.21;4.7;15.7;24.61;53.61;Ground-dwelling;Forest;26.2;5.7;1915;58;113;-0.021009777;0.016831418;-0.00983788;0.057019417;0.0138292;-0.027471468;-0.052375601;0.035461422;0.026821213;-0.037844652;-0.019097535;-0.016336198;0.009087419;0.064480156;-0.021678568;0.007166257;-0.005514427;-0.009716699;0.063751904;-0.004876189;-0.03061626;-0.80241449;2.686382311
Aspidoscelis_deppii;Aspidoscelis_deppii;16.07;8.99;8.92;2.98;1.87;2.07;4.6;4.5;4.02;13.69;16.77;19.52;45.58;8.21;11.45;145.67;6.76;9.37;6.03;26.89;54.96;61.65;Ground-dwelling;Terrestrial;25.2;15;1477;39;330;0.084361996;0.069063838;0.145178713;-0.106574043;0.070328485;0.058693091;0.17067085;0.170299939;0.168419022;0.16587482;0.071902766;0.103719469;-0.022549578;0.008217639;0.207168858;0.08132672;0.127290996;0.038382832;0.132910287;0.173566768;0.268056818;-37.03063325;-5.517529193
Aspidoscelis_gularis;Aspidoscelis_gularis;15.78;9.17;8.36;3.13;2.31;2;4.56;4.29;3.64;12.5;17.03;18.42;50.99;8.22;12.01;158.61;6.74;11.25;5.32;26.02;56.28;66.77;Ground-dwelling;Terrestrial;19.5;69.34;833;32;251;0.043749101;0.042964232;0.079696054;-0.045301719;0.059690576;0.021215728;0.128739972;0.113273912;0.104674019;0.091824193;0.044225071;0.046663772;-0.008899638;-0.023375761;0.186044544;0.081662067;0.087334028;0.080282806;0.056203399;0.127740307;0.249667989;-23.80090834;-2.531362806
